id_parroq;nparroq
210450;SHUSHUFINDI
210451;LIMONCOCHA
210452;PAÑACOCHA
210453;SAN ROQUE (CAB. EN SAN VICENTE)
210454;SAN PEDRO DE LOS COFANES
210455;SIETE DE JULIO
210550;LA BONITA
210551;EL PLAYON DE SAN FRANCISCO
210552;LA SOFIA
210553;ROSA FLORIDA
210554;SANTA BARBARA
210650;EL DORADO DE CASCALES
210651;SANTA ROSA DE SUCUMBIOS
210652;SEVILLA
210750;TARAPOA
210751;CUYABENO
210752;AGUAS NEGRAS
220150;PUERTO FRANCISCO DE ORELLANA (EL COCA)
220151;DAYUMA
220152;TARACOA (NUEVA ESPERANZA: YUCA)
220153;ALEJANDRO LABAKA
220154;EL DORADO
220155;EL EDEN
220156;GARCIA MORENO
220157;INES ARANGO (CAB. EN WESTERN)
220158;LA BELLEZA
220159;NUEVO PARAISO (CAB. EN UNION )
220160;SAN JOSE DE GUAYUSA
220161;SAN LUIS DE ARMENIA
220250;NUEVO ROCAFUERTE
220251;CAPITAN AUGUSTO RIVADENEYRA
220252;CONONACO
220253;SANTA MARIA DE HUIRIRIMA
220254;TIPUTINI
220255;YASUNI
220350;LA JOYA DE LOS SACHAS
220351;ENOKANQUI
220352;POMPEYA
220353;SAN CARLOS
220354;SAN SEBASTIAN DEL COCA
220355;LAGO SAN PEDRO
220356;RUMIPAMBA
220357;TRES DE NOVIEMBRE
220358;UNION MILAGREÑA
220450;LORETO
220451;AVILA (CAB. EN HUIRUNO)
220452;PUERTO MURIALDO
220453;SAN JOSE DE PAYAMINO
220454;SAN JOSE DE DAHUANO
220455;SAN VICENTE DE HUATICOCHA
230150;SANTO DOMINGO DE LOS COLORADOS
230151;ALLURIQUIN
230152;PUERTO LIMON
230153;LUZ DE AMERICA
230154;SAN JACINTO DEL BUA
230155;VALLE HERMOSO
230156;EL ESFUERZO
230157;SANTA MARIA DEL TOACHI
230250;LA CONCORDIA
230251;MONTERREY
230252;LA VILLEGAS
230253;PLAN PILOTO
240150;SANTA ELENA
240151;ATAHUALPA
240152;COLONCHE
240153;CHANDUY
240154;MANGLARALTO
240155;SIMON BOLIVAR (JULIO MORENO)
240156;SAN JOSE DE ANCON
240250;LA LIBERTAD
240350;SALINAS
240351;ANCONCITO
240352;JOSE LUIS TAMAYO (MUEY)
900151;LAS GOLONDRINAS
900351;MANGA DEL CURA
900451;EL PIEDRERO
900551;SANTA ROSA DE AGUA CLARA
900651;JUVAL
900751;ABDON CALDERON
900851;MATILDE ESTHER
